SubjectID,Gender,ZNBackAverage,ZTD1,ZTD2,ZSTEMAV2,ZNONSTEMAV2,ZDcorrect_Included,ZDwrong_Included,Zmathdevalue,ZGRIT_SCORE,Zcoratmpt,ZStigmaConsciousnessScore,ZMoodComp,ZSAQ1,ZWrongFeedback_Arousal_emotion_SelectedModularity_Theta,ZWrongFeedback_Arousal_emotion_SelectedModularity_Beta,ZWrongFeedback_Arousal_emotion_SelectedModularity_Gamma,ZWrongFeedback_DPD1_SelectedModularity_Theta,ZWrongFeedback_DPD1_SelectedModularity_Beta,ZWrongFeedback_DPD1_SelectedModularity_Gamma,ZSTEMGradeAll
11112,1,-0.02071,-0.45069,0.33604,-1.10578,-0.94416,-0.01954,0.21339,1.43174,-0.33093,-0.47257,-0.1836,1.9266,0.76471,-1.59545,-0.20304,1.54023,-0.24263,0.98675,0.83225,1.00824
11116,1,0.47848,0.8904,0.33604,3.01079,3.26425,-1.98186,0.78259,-0.50861,-1.07065,-0.26493,0.07405,-0.32166,-3.9765,0.14548,0.12107,-0.38711,0.89513,1.52491,1.42755,
11118,1,-0.02071,-0.45069,-0.24963,-0.52816,-0.35028,-2.3526,-1.49794,1.07895,-0.33093,1.5069,0.07405,0.92737,-1.26724,0.73572,-0.5596,-1.5539,0.49305,0.13665,0.04191,
11120,1,0.60328,0.21985,0.33604,0.28861,0.31645,-0.49576,0.18444,0.37337,0.40879,,0.20288,-1.15435,0.76471,1.22003,-0.51622,-1.03564,0.56888,1.08507,1.47981,1.46226
11122,1,-0.3951,0.21985,-0.24963,0.80411,1.60164,0.54591,0.67826,0.72616,0.40879,2.72503,-1.98718,0.09468,-0.58992,0.0751,-0.38753,0.38731,0.17853,0.75849,0.01757,-0.98945
11125,1,0.10409,0.8904,-1.42099,-0.61007,-0.53172,0.29811,0.37394,0.72616,0.03893,0.89783,-0.1836,-1.15435,-0.58992,0.6785,1.00704,1.08948,-0.57162,-0.25434,-0.17419,-0.08141
11128,1,-1.26868,-0.45069,-0.24963,-0.33465,-0.15954,-0.35799,0.16432,-0.50861,-0.70079,2.72503,-0.05478,-0.11349,-0.58992,-0.46998,-0.36797,0.12222,,-1.04002,-0.30107,-0.26302
11133,1,,-1.12124,0.33604,,,,,0.37337,0.40879,0.28876,-0.60229,-1.15435,0.76471,,,,,,,1.09904
11135,1,0.10409,0.21985,-0.83531,-0.7753,-0.63886,-0.66059,-0.47477,-0.86139,0.77865,0.53239,-0.1675,-1.15435,0.0874,-0.38954,-0.92721,-0.47255,0.74549,0.22223,0.94695,-0.35382
11136,1,0.97767,0.21985,-0.24963,0.14898,0.09596,0.09284,0.18141,0.02058,0.40879,2.72503,-0.82774,-1.15435,0.76471,-0.54651,-0.40443,-0.24971,0.44702,0.94594,0.83048,
22221,1,-0.76949,2.23149,-0.24963,1.42977,0.4595,0.70119,2.25101,0.54976,-1.07065,-0.92937,-0.05478,-0.94618,0.76471,0.12412,1.20222,1.35887,0.44575,0.47028,1.25362,0.191
22222,1,0.85287,-0.45069,0.92172,-0.27604,-0.35178,1.62667,0.74815,0.02058,0.77865,-0.92937,0.70208,-0.32166,0.76471,,,,,,,0.73583
22224,1,0.35368,-1.79179,-2.00666,2.78913,3.4695,0.42961,0.18787,-1.21418,-0.33093,-0.92937,-0.1468,-0.52983,1.44203,-1.16411,-1.01628,-1.82517,0.42722,0.56461,1.1127,-0.89865
22225,1,0.22889,-1.12124,-0.83531,0.41175,0.46662,-0.11293,1.35349,0.02058,-0.70079,-0.92937,-0.50567,-0.32166,0.76471,-0.13172,0.63319,-0.06431,-0.14115,-0.06731,-0.01218,-0.35382
22226,1,0.47848,0.8904,-0.24963,0.29553,0.18075,0.07305,-1.19414,0.90255,1.14851,0.53239,0.26729,-0.738,-0.58992,0.71945,1.03347,-0.15209,0.44758,0.20045,0.14916,-0.17221
33334,1,,,,,,,,,,,,,,,,,,,,-0.89865
33335,1,,-1.79179,-1.42099,-0.89134,-0.52498,0.5966,-0.09986,-0.685,-0.70079,-0.92937,-0.1675,-0.32166,-1.94455,1.20158,-1.06672,-0.61312,0.66378,-0.5312,-0.16485,0.00939
33337,1,,,,,,,,,,,,,,,,,,,,-0.17221
33338,1,,,,,,,,,,,,,,,,,,,,0.55422
33339,1,,,,,,,,,,,,,,,,,,,,-0.17221
33340,1,,,,,,,,,,,,,,,,,,,,-0.26302
33344,1,,,,,,,,,,,,,,,,,,,,-0.53543
33345,1,,,,,,,,,,,,,,,,,,,,1.46226
33351,1,,,,,,,,,,,,,,,,,,,,-0.71704
33352,1,,,,,,,,,,,,,,,,,,,,0.191
33354,1,,,,,,,,,,,,,,,,,,,,-2.35151
55556,1,,,,-0.49363,-0.57678,-0.96455,-3.04609,,,-0.68574,,-0.11349,0.76471,,,,,,,0.91743
55557,1,,-1.12124,-0.24963,-0.07388,-0.25628,-0.4703,-0.90544,-1.03779,0.77865,-0.68574,-0.95657,-0.11349,0.0874,,,,,,,-0.17221
55558,1,,,,,,,,,,-0.68574,,,,,,,,,,1.18985
55561,1,,0.8904,0.92172,,,,,1.25534,-0.33093,-0.68574,-1.72953,1.55189,-0.58992,-0.90211,-2.1418,-0.01635,0.12729,-0.7834,0.12943,0.00939
55563,1,-1.51827,1.56094,1.5074,0.35454,0.47557,-0.4703,-0.90544,-0.685,1.14851,-0.68574,0.55715,-1.15435,-1.26724,,,,,,,-1.08026
55565,1,-0.5199,-1.12124,0.92172,0.85853,-0.56644,0.61765,-0.78697,-1.03779,-1.81037,0.89783,0.12236,-0.94618,-0.58992,,,,,,,-0.53543
55566,1,0.60328,0.21985,0.92172,-1.1031,-0.99258,-0.4703,-0.90544,0.02058,0.03893,-0.68574,-1.47188,2.17641,-2.62187,,,,,,,-0.53543
55578,1,1.35206,0.8904,0.33604,-0.17586,-0.01152,-2.36148,-3.40766,-0.50861,1.14851,-0.01577,-0.1675,0.92737,0.76471,0.85865,0.95371,-0.35731,-0.24327,0.19024,-0.99355,-0.98945
55580,1,1.72645,0.8904,-0.24963,-1.50675,-1.5129,,,-0.15582,0.40879,2.72503,-1.47188,-0.32166,1.44203,,,,,,,0.64502
55582,1,0.85287,0.21985,-0.83531,-0.96672,-0.74952,0.526,0.17481,-1.39058,-0.70079,0.11475,0.68138,-0.32166,1.44203,-1.14542,0.03676,-1.60332,-0.48128,-0.85912,0.50944,0.91743
55583,1,-0.64469,1.56094,0.92172,0.84105,0.17022,-0.94587,1.56177,0.19697,-1.07065,-0.01577,1.74881,0.51103,0.0874,-0.84647,0.16277,0.30892,0.65501,0.2357,-0.26837,-0.44463
55586,1,-0.02071,0.8904,-2.00666,-0.24937,0.24193,-0.05246,-0.72089,-1.39058,-0.33093,-0.40731,2.58618,-1.15435,0.0874,0.66396,0.36664,1.18902,0.19564,0.85416,0.04988,-0.89865
55588,1,0.60328,0.21985,0.92172,-0.51639,-0.45773,0.72057,0.16697,-0.50861,0.40879,0.53239,0.20288,0.30286,0.76471,0.30342,1.25055,0.78696,-1.3417,-0.64764,-0.26702,0.91743
55589,1,0.22889,-1.12124,-1.42099,0.177,-0.03885,0.05126,-0.84528,1.43174,,0.28876,,-1.15435,-0.58992,0.18647,0.5889,1.14761,0.83114,0.06742,0.04164,0.37261
55590,1,0.72808,-1.79179,-0.83531,-0.50552,-0.51867,0.81444,0.5396,2.6665,,-0.3203,,0.30286,-0.58992,2.68927,1.98793,1.94869,0.01163,0.47528,-0.93215,-0.17221
55591,1,1.22726,-1.12124,0.33604,-0.4321,-0.55853,0.31298,0.47896,1.07895,,0.89783,,1.13555,0.76471,1.51675,0.7142,1.35078,-0.66072,-1.60775,-2.24623,-0.08141
99999,1,-0.02071,,,1.23119,1.56322,,,,,,,,,,,,,,,-0.44463
